Name,Address,Phone,Website,Icon,Thumbs,XCOORD,YCOORD
Tractor Brewing Nob Hill,"118 Tulane SE, Albuquerque, NM 87106",(505)443-5654,http://www.getplowed.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/tractor-120px.jpg,-106.607009,35.079432
Tractor Brewing,"120 Nelson Lane, Los Lunas, NM 87031",(505)866-0477,http://www.getplowed.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/tractor-120px.jpg,-106.706058,34.803441
Three Rivers Brewing,"113 East Main St., Farmington, NM 87401",(505)325-6605,http://www.threeriversbrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/3RiversLogo-120px.jpg,-108.204915,36.728885
Taos Mesa Brewing,"20 ABC Mesa Rd., Taos, NM 87571",(575)758-1900,http://www.taosmesabrewing.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/TMB-logo-120px.jpg,-105.661428,36.465716
Second Street Railyard,"1607 Paseo de Peralta - Railyard, Santa Fe, NM 87501",(505)989-3278,http://www.secondstreetbrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/SSB-RY-120px.jpg,-105.937799,35.686975
Second Street Brewery,"1814 2nd St., Santa Fe, NM 87505",(505)982-3030,http://www.secondstreetbrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/SSB-OG-120px.jpg,-105.965093,35.662051
SF Brewing Eldorado,"7 Caliente Rd. Unit A9, Eldorado, NM 87508",(505)466-6938,http://www.santafebrewing.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Santa-Fe-120px.jpg,-105.891255,35.536153
Santa Fe Brewing,"35 Fire Place, Santa Fe, NM 87508",(505)424-3333,http://www.santafebrewing.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Santa-Fe-120px.jpg,-106.051712,35.596439
Sierra Blanca Brewery,"1016 Industrial Loop, Moriarty, NM 87035",(505)832-2337,http://www.sierrablancabrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/AlienAmber_SBBC_Logo-120px.jpg,-106.025386,35.003855
Rio Grande Brewery,"1016 Industrial Loop, Moriarty, NM 87035",(505)832-2337,http://www.riograndebrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/RG_BrewPubGrill_logo-120px.jpg,-106.025386,35.003855
Nexus Brewery,"4730 Pan American Freeway NE, Albuquerque, NM 87109",(505)242-4100,http://www.nexusbrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Nexus-logo-120px.jpg,-106.606561,35.133311
Mimbres Valley Las Cruces,"985 E University Ave., Las Cruces, NM 88003",(575)544-2739,http://www.demingbrew.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/MimbresValley-120px.jpg,-106.756835,32.283954
Mimbres Valley Brewing,"200 South Gold St., Deming, NM 88030",(575)544-2739,http://www.demingbrew.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/MimbresValley-120px.jpg,-107.758573,32.267540
Marble Brewery Westside,"5740 Night Whisper NW, Albuquerque, NM 87114",(505)989-3565,http://www.marblebrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/marble-120px.jpg,-106.698100,35.215792
Marble Brewery Santa Fe,"60 East San Francisco St., Santa Fe, NM 87501",(505)989-3565,http://www.marblebrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/marble-120px.jpg,-105.939133,35.686776
Marble Brewery,"111 Marble Ave. NW, Albuquerque, NM 87102",(505)243-2739,http://www.marblebrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/marble-120px.jpg,-106.646727,35.092811
La Cumbre Brewing,"3313 Girard Blvd. NE, Albuquerque, NM 87107",(505)872-0225,http://www.lacumbrebrewing.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/la-cumbre-120px.jpg,-106.613807,35.117851
Il Vicino Santa Fe,"321 W. San Francisco St., Santa Fe, NM 87501",(505)986-8700,http://www.ilvicino.com/santafe,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Il-vicino-silo-logo-120px.jpg,-105.944314,35.688614
Il Vicino Brewery,"2381 Aztec NE, Albuquerque, NM 87107",(505)881-2737,http://www.ilvicino.com/brewery,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Il-vicino-silo-logo-120px.jpg,-106.617864,35.120670
High Desert Brewing,"1201 West Hadley Ave., Las Cruces, NM 88005",(575)525-6752,http://www.highdesertbrewingco.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/hdbc-logo-120px.jpg,-106.793442,32.309659
Chama River Brewing Microbar,"106 2nd St. SW, Albuquerque, NM 87102",(505)842-8329,http://www.chamariverbrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/CRB-Logo-Color-120px.jpg,-106.649241,35.084072
Chama River Brewing,"4939 Pan American Freeway, Albuquerque, NM 87109",(505)342-1800,http://www.chamariverbrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/CRB-Logo-Color-120px.jpg,-106.599937,35.140013
Broken Bottle Brewery,"9421 Coors Blvd. NW Suite K, Albuquerque, NM 87114",(505)890-8777,http://www.brokenbottlebrewery.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/BrokenBottle-120px.jpg,-106.662129,35.187539
Blue Corn Brewery Downtown Location,"133 West Water St., Santa Fe, NM 87501",(505)984-1800,http://www.bluecorncafe.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/BCCB-Logo-Color-120px.jpg,-105.940162,35.686624
Il Vicino Nob Hill,"3403 Central Ave NE #151, Albuquerque, NM 87106",(505)266-7855,http://www.ilvicino.com/nobhill,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Il-vicino-silo-logo-120px.jpg,-106.606677,35.080071
Blue Corn Brewery South Side Location,"4056 Cerrillos Rd., Santa Fe, NM 87508",(505)438-1800,http://www.bluecorncafe.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/BCB-Logo-Color.jpg,-106.015804,35.639006
Blue Heron Brewing,"2214 Highway 68, Embudo, NM 87401",(575)325-6605,http://www.blueheronbrews.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/blue-heron.jpg,-105.897659,36.214524
Abbey Brewing Company Monastery of Christ in the Desert,"135 Forest Service Rd. #151, Abiquiu, NM 87510",(505)990-8581,http://www.abbeybeveragecompany.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/abbey.jpg,-106.511271,36.373134
